,fighter_name,win_loss,avg_str
707,Ariane Lipski,0.6,21.1528
708,Mike Rodriguez,0.4286,40.0
709,Rong Zhu,0.0,4.33
710,Impa Kasanganay,0.8,5.58
711,Emily Whitmire,0.4,31.0
712,Bea Malecki,1.0,21.1528
713,Roosevelt Roberts,0.5556,21.1528
714,Sasha Palatnikov,0.5,7.58
715,Tecia Torres,0.6429,96.0
716,Victoria Leonardo,0.4,4.85
717,Cheyanne Buys,0.5,4.32
718,Collin Anglin,0.5,5.18
719,Chris Gruetzemacher,0.5714,103.0
720,Jinh Yu Frey,0.2857,2.97
721,Ryan Benoit,0.375,23.0
722,Marion Reneau,0.4545,85.0
723,Jeremy Stephens,0.4688,38.5926
724,Francisco Figueiredo,0.6667,2.04
725,Alan Baudot,0.0,7.81
726,Carlos Condit,0.5833,63.4167
727,Omari Akhmedov,0.6923,32.8889
728,Julia Avila,0.75,3.9
729,Yancy Medeiros,0.5333,32.1818
730,Chan Sung Jung,0.5385,36.6667
731,Aleksa Camur,0.5,21.1528
732,Kanako Murata,0.5,2.15
733,Demian Maia,0.6875,22.9286
734,Carlos Felipe,0.75,4.88
735,Walt Harris,0.4286,22.8333
736,Dusko Todorovic,0.5,8.04
737,Jacare Souza,0.7037,26.8333
738,Kevin Aguilar,0.5,86.0
739,Christos Giagos,0.4615,19.8418
740,Donald Cerrone,0.6444,61.5
741,Maurice Greene,0.5714,21.1528
742,Christian Aguilera,0.5,10.17
743,Randa Markos,0.375,55.0
744,Kai Kamaka,0.5,7.6
745,Poliana Botelho,0.5,67.0
746,Andreas Michailidis,0.3333,4.8
747,Luke Sanders,0.5,60.0
748,Karl Roberson,0.5,19.8418
749,Danaa Batgerel,0.5,5.78
750,Kazula Vargas,0.3333,3.85
751,Aori Qileng,,7.73
752,Na Liang,,2.94
753,Abdul Razak Alhassan,0.5455,27.5
754,Luis Pena,0.5714,21.1528
755,Bartosz Fabinski,0.6,41.0
756,Nina Nunes,0.5,4.64
757,Mike Perry,0.5,60.5
758,Scott Holtzman,0.5833,71.0
759,Yorgan De Castro,0.5,3.58
760,Hunter Azure,0.75,4.71
761,Da-Un Jung,1.0,3.95
762,Stipe Miocic,0.7778,68.0
763,Tyron Woodley,0.7391,37.5
764,Jared Gooden,0.3333,5.08
765,Gloria de Paula,0.5,4.89
766,Dominick Cruz,0.8235,90.0
767,Joseph Benavidez,0.75,57.0
768,Rogerio Bontorin,0.6,19.8418
769,Vince Cachero,0.0,3.29
770,Shana Dobson,0.3333,34.0
771,Andre Ewell,0.5,53.0
772,Alistair Overeem,0.6875,43.25
773,Nik Lentz,0.6364,69.0
774,Ike Villanueva,0.2,3.66
775,Su Mudaerji,0.6667,21.1528
776,David Zawada,0.25,33.0
777,Sarah Moras,0.375,23.2
778,Jacob Kilburn,0.0,19.8418
779,Anthony Pettis,0.6154,37.0833
780,Deron Winn,0.5,6.6
781,Junior Dos Santos,0.7143,59.3529
782,Gavin Tucker,0.6667,55.0
783,Matt Wiman,0.5882,36.1667
784,Spike Carlyle,0.5,14.12
785,Martin Day,0.0,19.8418
786,Alan Jouban,0.5833,52.0
787,Louis Cosce,0.5,13.33
788,Paul Felder,0.6429,51.0
789,Geraldo de Freitas,0.5,21.1528
790,Claudia Gadelha,0.6364,70.0
791,Gustavo Lopez,0.5,2.24
792,Cole Williams,0.0,0.77
793,Khabib Nurmagomedov,1.0,58.7
794,Stefan Struve,0.5652,24.7143
795,Liana Jojua,0.3333,2.42
796,Thomas Almeida,0.5556,120.0
797,Gadzhimurad Antigulov,0.4,19.8418
798,Markus Perez,0.3333,30.0
799,Tom Breese,0.7143,35.75
800,Chris Daukaus,0.5714,11.78
801,Ali AlQaisi,0.0,2.93
802,Germaine de Randamie,0.75,50.0
803,Dequan Townsend,0.0,19.8418
804,Jordan Williams,0.25,8.05
805,Casey Kenney,0.6667,19.8418
806,Luigi Vendramini,0.3333,19.8418
807,Diego Sanchez,0.6471,36.5789
808,Juan Espino,1.0,21.1528
809,Khadis Ibragimov,0.0,21.1528
810,Jordan Espinosa,0.5714,21.1528
811,Mirsad Bektic,0.6667,33.3333
812,Michelle Waterson,0.6667,47.0
813,Ed Herman,0.52,29.7143
814,Brok Weaver,0.5,6.73
815,Cole Smith,0.5,19.8418
816,Ricardo Lamas,0.6364,32.2667
817,Mallory Martin,0.5,21.1528
818,Carlton Minus,0.0,3.5
819,Timur Valiev,1.0,5.5
820,John Dodson,0.625,46.5385
821,Herbert Burns,0.5,21.1528
822,Yana Kunitskaya,0.6667,38.5
823,Irwin Rivera,0.5,2.33
824,Joanne Calderwood,0.5833,109.0
825,Frankie Saenz,0.5556,67.0
826,Fabricio Werdum,0.7097,52.3333
827,Ramazan Emeev,0.7143,38.5
828,Joe Duffy,0.5714,23.1667
829,Brett Johns,0.6667,52.5
830,Davi Ramos,0.6667,45.0
831,Jimmie Rivera,0.7,56.0
832,John Phillips,0.2,25.5
833,Mara Romero Borella,0.3333,41.0
834,Jordan Griffin,0.4,19.8418
835,Anthony Ivy,0.0,4.07
836,Ian Heinisch,0.5714,55.0
837,Charles Byrd,0.3333,24.5
838,Jussier Formiga,0.6,19.8418
839,Evan Dunham,0.5789,66.4444
840,Jamahal Hill,0.875,21.1528
841,Henry Cejudo,0.7692,72.0
842,Greg Hardy,0.6,29.0
843,Elizeu Dos Santos,0.7778,4.18
844,Veronica Macedo,0.25,23.5
845,Weili Zhang,1.0,77.0
846,Mark Madsen,0.8,18.33
847,Megan Anderson,0.6,26.0
848,Gabriel Silva,0.0,0.53
849,Aalon Cruz,0.5,9.04
850,Jim Crute,0.6667,4.56
851,Ben Sosoli,,2.22
852,Callan Potter,0.5,21.1528
853,Kai Kara France,0.75,19.8418
854,Corey Anderson,0.7143,66.0
855,Mark De La Rosa,0.3333,31.0
856,Juan Adams,0.3333,86.0
857,Domingo Pilarte,0.5,2.06
858,Hannah Cifers,0.3333,41.0
859,Bevon Lewis,0.6,68.0
860,Justine Kish,0.5,72.0
861,Conor McGregor,0.7692,49.0
862,Da Un Jung,1.0,21.1528
863, Jun Yong Park,0.0,21.1528
864,Dong Hyun Ma,0.4286,51.0
865,Miranda Granger,0.3333,21.1528
866,Heili Alateng,1.0,21.1528
867,Peter Yan,1.0,21.1528
868,Thiago Alves,0.5769,41.4
869,Antonio Arroyo,0.5,21.1528
870,Sergio Moraes,0.6667,38.0
871,Vanessa Melo,0.0,21.1528
872,Zabit Magomedsharipov,1.0,58.6667
873,Alekander Volkov,0.8,21.1528
874,Zelim Imadaev,0.0,21.1528
875,Rustam Khabilov,0.75,26.7
876,Alexander Yakovlev,0.375,33.0
877,Grigorii Popov,0.0,21.1528
878,Jorge Masvidal,0.6296,57.6364
879,Lyman Good,0.6,65.0
880,Muslim Salikhov,0.6364,21.1528
881,Alex White,0.4444,49.5
882,Enrique Barzola,0.75,55.0
883,Raphael Pessoa Nunes,0.0,2.4
884,Joe Lauzon,0.5385,22.125
885,Kyle Bochniak,0.3333,52.0
886,Daniel Spitz,0.3333,51.0
887,Joanna Jedrzejczyk,0.7143,131.875
888,Luke Jumeau,0.6667,44.5
889,Nadia Kassem,0.5,52.0
890,Michal Oleksiejczuk,0.5385,76.0
891,Alen Amedovski,0.0,19.8418
892,Siyar Bahadurzada,0.5714,35.8
893,Brandon Davis,0.3333,76.0
894,Martin Bravo,0.3333,56.0
895,Jose Quinonez,0.625,40.8
896,Marco Polo Reyes,0.5714,6.0
897,Sergio Pettis,0.6154,81.0
898,Vinicius Moreira,0.25,19.8418
899,Caludio Puelles,0.5,3.06
900,Kyle Prepolec,0.0,19.8418
901,Mairbek Taisumov,0.875,33.0
902,Nordine Taleb,0.6364,57.0
903,Don Madge,1.0,19.8418
904,Daniel Cormier,0.9048,66.5
905,Yoel Romero,0.6923,40.6667
906,Manny Bermudez,0.75,19.8418
907,Vincente Luque,0.8182,5.18
908,Luiz Garagorri,,3.75
909,Darko Stosic,0.3333,19.8418
910,Cris Cyborg,0.9167,75.5
911,Olivier Aubin-Mercier,0.6364,45.0
912,Erik Koch,0.5385,22.5
913,James Vick,0.6923,44.2
914,Ray Borg,0.6364,19.8418
915,Urijah Faber,0.6786,51.2857
916,Liu Pingyuan,0.6667,32.0
917,Benito Lopez,0.75,78.0
918,Gilbert Melendez,0.7083,69.5
919,Caludia Gadelha,0.5556,3.17
920,Allen Crowder,0.5,19.8418
921,Alexander Gustafsson,0.5882,45.7857
922,Jimi Manuwa,0.5455,53.0
923,Damir Hadzovic,0.5,34.8
924,Daniel Teymur,0.25,69.0
925,Rostem Akman,0.0,21.1528
926,Tonya Evinger,0.0,32.0
927,Stevie Ray,0.6,43.0
928,Nick Hein,0.5714,50.0
929,Antonio Carlos Junior,0.6364,23.5714
930,Desmond Green,0.5,57.0
931,Patrick Cummins,0.5,44.2
932,Rogerio Nogueira,0.7037,28.8889
933,BJ Penn,0.4615,40.6471
934,Talita Bernardo,0.3333,42.6667
935,Arjan Bhullar,0.6667,26.6667
936,Mitch Gagnon,0.5714,28.5714
937,John Lineker,0.8,96.0
938,Ben Saunders,0.5,29.4167
939,Sultan Aliev,0.3333,19.8418
940,Magomed Mustafaev,0.75,19.8418
941,Wilson Reis,0.5833,33.0
942,Boston Salmon,0.0,21.1528
943,Curtis Millender,0.75,58.0
944,Lauren Mueller,0.3333,58.0
945,David Branch,0.5,20.1667
946,Ross Pearson,0.48,66.5
947,Ryan MacDonald,0.0,21.1528
948,Eric Shelton,0.4,49.6667
949,Jack Marshman,0.4286,42.0
950,Danny Henry,0.6667,93.0
951,Tim Boetsch,0.5217,32.8
952,Anthony Rocco Martin,0.6429,33.6
953,Liz Carmouche,0.5385,35.25
954,Michel Prazeres,0.7692,36.0
955,Renan Barao,0.5625,68.0
956,Alexandra Albu,0.6667,62.0
957,Teruto Ishihara,0.375,88.0
958,Wuliji Buren,0.0,24.0
959,Junior Albini,0.25,34.5
960,Magomed Bibulatov,0.5,51.0
961,Gregor Gillespie,0.8571,41.0
962,Paige VanZant,0.625,67.0
963,Dennis Bermudez,0.5625,55.0
964,Kyle Stewart,0.0,21.1528
965,Chad Mendes,0.6923,56.0
966,Cat Zingano,0.5,37.5
967,Zak Ottow,0.5714,65.0
968,Trevor Smith,0.4545,87.0
969,Adam Milstead,0.3333,39.0
970,Chris de la Rocha,0.3333,26.6667
971,Elias Theodorou,0.8,73.0
972,Chad Laprise,0.6667,71.0
973,Mark Hunt,0.4706,36.0
974,Suman Mokhtarian,0.0,21.1528
975,Yushin Okami,0.7,31.2
976,Keita Nakamura,0.4,36.25
977,Elias Garcia,0.0,19.8418
978,Mizuto Hirota,0.1667,58.0
979,Alex Gorgees,,21.1528
980,Darren Stewart,0.4545,24.1429
981,Rick Glenn,0.6,84.0
982,Cezar Ferreira,0.6429,42.0
983,Humberto Bandenay,0.3333,19.8418
984,Laureano Staropoli,0.4,97.0
985,Devin Powell,0.3333,32.5
986,Nad Narimani,0.6667,64.5
987,Joseph Morales,0.5,21.1528
988,Jason Knight,0.5,54.3333
989,Adam Wieczorek,1.0,42.0
990,Andre Soukhamthath,0.3333,46.0
991,Alex Garcia,0.5556,35.0
992,Thibault Gouti,0.2,20.4
993,Te Edwards,0.0,21.1528
994,Gray Maynard,0.5789,30.6667
995,Ryan LaFlare,0.7778,61.0
996,Luis Henrique,0.4,20.4
997,Thales Leites,0.6,26.1579
998,Aleksei Kunchenko,0.6667,44.0
999,Khalid Murtazaliev,,21.1528
1000,Adam Yandiev,,21.1528
1001,Roberto Sanchez,0.5,19.8418
1002,Jake Ellenberger,0.5,27.0
1003,John Moraga,0.6154,34.0
1004,James Krause,0.5714,96.0
1005,TJ Dillashaw,0.7647,73.0909
1006,Demetrious Johnson,0.8824,69.0
1007,Matt Sayles,0.5,77.0
1008,Danielle Taylor,0.5,44.6667
1009,Eddie Alvarez,0.5714,53.4286
1010,Jordan Mein,0.5,33.375
1011,Kajan Johnson,0.6667,35.3333
1012,Dustin Ortiz,0.6154,55.0
1013,Vitor Miranda,0.5,36.0
1014,Emil Meek,0.3333,50.0
1015,Justin Ledet,0.5,113.0
1016,Jeremy Kimball,0.3333,19.8418
1017,Damian Stasiak,0.4,22.6
1018,Sage Northcutt,0.7143,34.7143
1019,Myles Jury,0.7273,34.0
1020,Justin Scoggins,0.5,44.0
1021,Jessica Aguilar,0.25,85.0
1022,Gokhan Saki,1.0,40.0
1023,Jamie Moyle,0.5,76.5
1024,Jay Cucciniello,,21.1528
1025,John Gunther,1.0,27.0
1026,Tyler Diamond,,21.1528
1027,Matt Bessette,0.0,43.0
1028,Felipe Arantes,0.4545,40.0
1029,Rolando Dy,0.3333,34.0
1030,Shinsho Anzai,0.6667,35.0
1031,Viviane Pereira,0.6667,52.5
1032,Jenel Lausa,0.3333,56.0
1033,CM Punk,0.0,21.1528
1034,Rashad Coulter,0.0,36.0
1035,Rashad Evans,0.6364,28.8824
1036,Mike Santiago,0.0,37.5
1037,Johnny Eduardo,0.4286,39.5
1038,Jarred Brooks,0.3333,29.3333
1039,Eric Spicely,0.3333,21.1528
1040,Daniel Kelly,0.6667,43.0
1041,Bradley Scott,0.4286,55.0
1042,Diego Rivas,0.6667,21.1528
1043,Henry Briones,0.25,44.6667
1044,Vitor Belfort,0.6,11.4
1045,Alberto Mina,1.0,51.5
1046,Justin Willis,1.0,52.25
1047,Dhiego Lima,0.4,37.5
1048,Matthew Lopez,0.4,30.25
1049,Bec Rawlings,0.3333,69.0
1050,Tom Duquesnoy,0.5,36.0
1051,Mark Godbeer,0.6667,48.5
1052,CB Dollaway,0.5789,23.2778
1053,Mike Pyle,0.5556,24.8333
1054,Bryan Caraway,0.6667,32.1111
1055,Jordan Johnson,1.0,46.6667
1056,Albert Morales,0.2,79.0
1057,Joshua Burkman,0.3333,32.9375
1058,Oskar Piechota,0.4,56.0
1059,Damien Brown,0.4,39.2
1060,Rob Wilkinson,0.0,24.0
1061,Lyoto Machida,0.6522,43.5
1062,Tim Johnson,0.5,37.6
1063,Alan Patrick,0.625,28.0
1064,Maia Stevenson,,21.1528
1065,Iuri Alcantara,0.5882,41.0
1066,Jordan Rinaldi,0.5,19.8418
1067,Austin Arnett,0.3333,43.0
1068,Sabah Homasi,0.0,36.0
1069,Kalindra Faria,0.0,19.8418
1070,Mads Burnell,0.5,19.8418
1071,Carls John De Tomas,0.0,30.0
1072,Antonio Braga Neto,0.5,21.1528
1073,David Teymur,1.0,54.6
1074,Amanda Cooper,0.4,35.0
1075,Nicco Montano,1.0,21.1528
1076,Barb Honchak,0.0,71.0
1077,Joe Soto,0.4286,62.0
1078,Christina Marks,,21.1528
1079,Karine Gevorgyan,,21.1528
1080,Ariel Beck,,21.1528
1081,Michael Bisping,0.7143,56.7778
1082,Wang Guan,,21.1528
1083,Kailin Curran,0.1667,54.5
1084,Cyril Asker,0.5,19.8418
1085,Alex Chambers,0.25,32.75
1086,Anthony Hamilton,0.3333,38.2
1087,Nate Marquardt,0.5417,27.6364
1088,Johny Hendricks,0.65,47.5714
1089,Hacran Dias,0.4286,32.0
1090,Marcelo Golm,0.3333,47.0
1091,Marcin Held,0.0,30.0
1092,Artem Lobov,0.3333,56.6
1093,Salim Touahri,0.0,35.0
1094,Pearl Gonzalez,0.0,37.0
1095,Takanori Gomi,0.3333,44.5
1096,Syuri Kondo,0.3333,135.0
1097,Daichi Abe,0.5,63.0
1098,Luke Rockhold,0.7895,33.25
1099,Hector Lombard,0.2727,37.0
1100,Jason Saggo,0.6,26.75
1101,Mitch Clarke,0.3333,27.4
1102,Francimar Barroso,0.5,42.5
1103,Bojan Mihajlovic,0.0,19.8418
1104,Alvaro Herrera,0.3333,19.8418
1105,Rafael Natal,0.5625,42.8333
1106,Damian Grabowski,0.0,19.8418
1107,Frankie Perez,0.3333,19.8418
1108,James Mulheron,,21.1528
1109,Charlie Ward,0.0,21.1528
1110,Leslie Smith,0.5,79.0
1111,Daniel Omielanczuk,0.5,49.0
1112,Travis Browne,0.5625,25.75
1113,Josh Stansbury,0.5,61.0
1114,Dong Hyun Kim,0.7647,34.25
1115,Tarec Saffiedine,0.4,120.0
1116,Kwan Ho Kwak,0.0,53.0
1117,Naoki Inoue,1.0,62.0
1118,Kiichi Kunimoto,0.75,21.1528
1119,Erick Silva,0.5,21.1528
1120,Luan Chagas,0.3333,60.6667
1121,Peter Sobotta,0.4444,28.5
1122,Oliver Enkamp,0.0,34.0
1123,Reza Madadi,0.5,39.0
1124,Nico Musoke,0.6,45.6
1125,Joachim Christensen,0.5,50.0
1126,Hector Sandoval,0.6667,23.3333
1127,Patrick Williams,0.3333,19.8418
1128,Will Brooks,0.3333,80.0
1129,Brad Pickett,0.3846,39.0
1130,Rony Jason,0.5,41.0
1131,Garreth McLellan,0.25,55.0
1132,Sam Sicilia,0.4545,36.0
1133,Anderson Silva,0.7561,34.0
1134,Abel Trujillo,0.6,57.0
1135,Daniel Jolly,0.0,19.8418
1136,Bobby Nash,0.0,39.0
1137,Henrique da Silva,0.4,81.0
1138,Jason Gonzalez,0.3333,19.8418
1139,Jocelyn Jones-Lybarger,0.0,54.0
1140,Dmitrii Smoliakov,0.0,19.8418
1141,Brandon Thatch,0.4,24.3333
1142,Cole Miller,0.5263,33.0
1143,James Moontasri,0.4,35.0
1144,Bojan Velickovic,0.4,34.25
1145,Tim Kennedy,0.75,54.0
1146,Valerie Letourneau,0.6,104.0
1147,Zach Makovsky,0.5,30.5
1148,Joe Gigliotti,0.0,19.8418
1149,Tiago Trator,0.6667,62.0
1150,Keith Berish,0.0,0.0
1151,Juliana Lima,0.5,32.4
1152,Elvis Mutapcic,0.0,51.0
1153,Kyle Noke,0.5455,50.0
1154,Yusuke Kasuya,0.0,44.0
1155,Seohee Ham,0.3333,73.6667
1156,Richard Walsh,0.4,71.0
1157,Ben Nguyen,0.6667,36.75
1158,Yao Zhikui,0.3333,27.0
1159,Ryan Bader,0.7368,32.4
1160,Gegard Mousasi,0.7273,80.0
1161,Magnus Cedenblad,0.8,19.8418
1162,Kyoji Horiguchi,0.8571,50.1429
1163,Anna Elmose,0.0,19.8418
1164,Erik Perez,0.75,31.125
1165,Marco Beltran,0.75,31.0
1166,Erick Montano,0.5,49.0
1167,Polo Reyes,0.8,72.5
1168,Lukasz Sajewski,0.0,26.0
1169,Jonathan Wilson,0.3333,35.0
1170,Cody East,0.0,26.0
1171,Kelly Faszholz,0.0,76.0
1172,Roy Nelson,0.5,22.9375
1173,Godofredo Pepey,0.5,34.0
1174,Glaico Franca,0.5,31.0
1175,Roan Carneiro,0.5,16.0
1176,Chris Wade,0.6667,26.3333
1177,Augusto Montano,0.5,30.0
1178,Jessin Ayari,0.3333,70.0
1179,Scott Askham,0.4,42.0
1180,Shane Campbell,0.25,50.3333
1181,Jeremy Kennedy,1.0,38.0
1182,Anthony Johnson,0.7222,21.625
1183,Rick Story,0.6667,49.1111
1184,Hyun Gyu Lim,0.5,70.0
1185,Alberto Uda,0.0,19.8418
1186,Viktor Pesta,0.25,30.5
1187,Francisco Rivera,0.4,48.25
1188,Cesar Arzamendia,0.0,21.1528
1189,Jim Alers,0.3333,36.0
1190,Michael McDonald,0.75,51.0
1191,Cain Velasquez,0.8571,51.3846
1192,Cory Hendricks,,21.1528
1193,Anthony Birchak,0.4,21.1528
1194,Russell Doane,0.4286,43.0
1195,Rory MacDonald,0.75,50.5
1196,Steve Bosse,0.5,19.8418
1197,Tamdan McCrory,0.5,20.2857
1198,Chris Beal,0.5,37.5
1199,Ali Bagautinov,0.6667,47.8333
1200,Dan Henderson,0.5294,40.375
1201,Chris Camozzi,0.5,68.0
1202,Antonio Silva,0.3,27.0
1203,Albert Tumenov,0.7143,37.3333
1204,Jon Tuck,0.5,51.5
1205,Yan Cabral,0.5,21.1528
1206,Ulka Sasaki,0.5,19.8418
1207,Efrain Escudero,0.4545,37.7778
1208,Oluwale Bamgbose,0.25,19.8418
1209,Igor Pokrajac,0.3333,23.6667
1210,Ian Entwistle,0.5,19.8418
1211,Filip Pejic,,21.1528
1212,Rob Whiteford,0.5,21.0
1213,James Te Huna,0.5556,37.6667
1214,Brendan O'Reilly,0.3333,28.5
1215,Mike Wilkinson,0.6667,54.0
1216,Norman Parke,0.625,57.0
1217,Teemu Packalen,0.3333,35.0
1218,Daniel Sarafian,0.4,38.0
1219,Jonavin Webb,0.0,23.0
1220,Noad Lahat,0.6667,33.0
1221,Josh Barnett,0.6667,38.0
1222,George Sullivan,0.5,61.0
1223,Matt Dwyer,0.3333,19.8418
1224,Patrick Cote,0.5,30.9
1225,Maximo Blanco,0.5,51.8333
1226,Lorenz Larkin,0.4444,39.8889
1227,Diego Brandao,0.6667,25.2
1228,Sheldon Westcott,0.0,21.1528
1229,Sarah Kaufman,0.3333,144.5
1230,Josh Samman,0.75,36.0
1231,Hayder Hassan,0.0,19.8418
1232,Joe Proctor,0.5714,34.1667
1233,Tatsuya Kawajiri,0.6,32.0
1234,Gabriel Gonzaga,0.5714,15.25
1235,Joby Sanchez,0.25,44.3333
1236,Benson Henderson,0.7692,72.6667
1237,Yoshihiro Akiyama,0.3333,55.0
1238,Dongi Yang,0.25,54.0
1239,Yui Chul Nam,0.5,77.0
1240,Tae Hyun Bang,0.5,31.5
1241,Ning Guangyou,0.6667,38.5
1242,Dominique Steele,0.25,24.0
1243,Horacio Gutierrez,0.0,21.1528
1244,Hector Urbina,0.5,19.8418
1245,Vernon Ramos,,21.1528
1246,Valmir Lazaro,0.5,91.0
1247,Ronda Rousey,0.8571,23.5
1248,Anthony Perosh,0.4545,21.6667
1249,Richie Vaculik,0.3333,34.3333
1250,Fabio Maldonado,0.5,89.0
1251,Gleison Tibau,0.5926,23.5833
1252,Kevin Souza,1.0,65.5
1253,Viscardi Andrade,0.6667,38.0
1254,Bruno Korea,,21.1528
1255,Paddy Holohan,0.75,26.5
1256,Neil Seery,0.5,54.3333
1257,Aisling Daly,0.5,21.5
1258,Cathal Pendred,0.8,38.3333
1259,Bubba Bush,0.0,2.0
1260,Shawn Jordan,0.6667,64.0
1261,Adriano Martins,0.6667,21.1528
1262,Francisco Trevino,0.5,47.0
1263,Chris Cariaso,0.5833,67.0
1264,Takeya Mizugaki,0.6154,59.5
1265,Katsunori Kikuno,0.5,25.6667
1266,Naoyuki Kotani,0.0,10.5
1267,Clay Collard,0.3333,70.0
1268,Joe Riggs,0.4545,15.0
1269,Sam Stout,0.4737,60.7
1270,Yves Jabouin,0.5556,34.375
1271,Chris Kelades,0.6667,50.0
1272,Jared Rosholt,0.8571,36.6667
1273,Chris Dempsey,0.3333,22.5
1274,Anthony Christodoulou,0.0,19.8418
1275,Reginaldo Vieira,0.5,59.0
1276,Rafael Feijao,0.25,24.0
1277,Hugo Viana,0.6,65.0
1278,Kenny Robertson,0.5,37.375
1279,Daron Cruickshank,0.5,41.0
1280,Ramsey Nijem,0.5556,35.5
1281,Jessamyn Duke,0.3333,123.0
1282,Mickael Lebout,0.5,47.0
1283,Marcus Brimage,0.5714,88.0
1284,Frank Mir,0.6154,13.1429
1285,Josh Thomson,0.5,27.3333
1286,Scott Jorgensen,0.3636,44.5
1287,Igor Araujo,0.6667,21.0
1288,Kevin Casey,0.1667,24.1667
1289,Andrew Craig,0.5,36.0
1290,Michael Graves,1.0,27.0
1291,Angela Magana,0.0,37.0
1292,Dan Miller,0.5,23.8182
1293,Darrell Montague,0.0,19.8418
1294,Mike Swick,0.7143,20.0
1295,Yosdenis Cedeno,0.3333,26.0
1296,Leandro Silva,0.4286,50.0
1297,Steve Montgomery,0.0,21.1528
1298,Danny Martinez,0.0,46.3333
1299,Dennis Siver,0.55,39.9412
1300,Alan Omer,0.0,58.0
1301,Niklas Backstrom,0.5,19.8418
1302,Piotr Hallmann,0.4,54.6667
1303,Thiago Tavares,0.5882,21.5833
1304,Brian Ebersole,0.7143,34.1429
1305,Ricardo Abreu,1.0,33.0
1306,KJ Noons,0.4,49.0
1307,Wendell Oliveira,0.0,19.8418
1308,Lucas Martins,0.5,28.5
1309,Luiz Dutra,0.0,19.8418
1310,Mark Munoz,0.5714,33.3333
1311,Phillipe Nover,0.1667,18.8333
1312,Mark Eddiva,0.3333,51.5
1313,Zhang Lipeng,0.6667,19.8418
1314,Roldan Sangcha-an,0.0,36.0
1315,Nolan Ticman,0.0,25.0
1316,Hatsu Hioki,0.4286,45.5
1317,Dylan Andrews,0.5,21.1528
1318,Vik Grujic,0.3333,19.8418
1319,Alptekin Ozkilic,0.3333,58.3333
1320,Rampage Jackson,0.5833,40.3333
1321,Jessica Rakoczy,0.0,19.8418
1322,Eddie Gordon,0.3333,22.3333
1323,Pawel Pawlak,0.5,25.5
1324,Seth Baczynski,0.5,31.6667
1325,Izabela Badurek,,21.1528
1326,Marcin Bandel,0.0,19.8418
1327,Ron Stallings,0.5,30.0
1328,Leonardo Mafra,0.3333,46.0
1329,Jorge de Oliveira,0.0,23.0
1330,Bentley Syler,,21.1528
1331,Jake Lindsey,0.0,49.0
1332,Larissa Pacheco,0.0,19.8418
1333,Masio Fullen,0.5,41.0
1334,William Patolino,0.3333,84.0
1335,Ivan Jorge,0.6667,69.0
1336,Ian McCall,0.4,62.5
1337,Richardson Moreira,0.0,19.8418
1338,Phil Davis,0.75,48.0
1339,Akira Corassani,0.6,46.5
1340,Andy Ogle,0.2,52.0
1341,John Howard,0.5385,26.8462
1342,Johnny Case,0.8,46.5
1343,Matt Van Buren,0.0,19.8418
1344,Tateki Matsuda,0.0,41.0
1345,Danny Castillo,0.5385,55.0
1346,Alexis Dufresne,0.0,19.8418
1347,Elias Silverio,0.75,65.0
1348,Tom Niinimaki,0.3333,19.8418
1349,Leandro Issa,0.5,30.5
1350,Marcio Alexandre Junior,0.0,22.0
1351,Jamie Varner,0.375,33.1429
1352,Joe Ellenberger,1.0,22.0
1353,David Michaud,0.5,59.0
1354,Emily Peters Kagan,0.0,41.0
1355,Todd Duffee,0.75,27.5
1356,Ruslan Magomedov,1.0,55.0
1357,Luke Barnatt,0.6,113.0
1358,Yves Edwards,0.5,27.8421
1359,Juan Puig,0.0,19.8418
1360,Edgar Garcia,0.0,28.0
1361,Caio Magalhaes,0.6667,25.0
1362,Wagner Silva,0.0,19.8418
1363,Soa Palelei,0.6667,25.0
1364,Luke Zachrich,0.5,34.5
1365,Jumabieke Tuerxun,0.0,22.5
1366,Fabricio Camoes,0.2,22.0
1367,Tor Troeng,0.3333,21.1528
1368,Manvel Gamburyan,0.4286,20.6923
1369,Michinori Tanaka,0.5,33.3333
1370,Kazuki Tokudome,0.3333,38.0
1371,Paulo Thiago,0.4167,18.1667
1372,Matt Mitrione,0.6923,44.6667
1373,Sean Soriano,0.0,21.5
1374,Ruan Potts,0.0,19.8418
1375,Francis Carmont,0.75,51.0
1376,Sai Wang,0.0,31.0
1377,Roland Delorme,0.5,36.0
1378,An Ying Wang,1.0,19.8418
1379,Elizabeth Phillips,0.3333,67.0
1380,Tom Watson,0.3333,65.0
1381,Kyle Kingsbury,0.5,43.6
1382,Hernani Perpetuo,0.0,21.0
1383,Akbarh Arreola,0.3333,30.0
1384,Andreas Stahl,0.0,41.0
1385,Steven Siler,0.625,76.5
1386,Cody Donovan,0.3333,26.6667
1387,Justin Salas,0.5,50.0
1388,Jesse Ronson,0.0,45.5
1389,Patrick Walsh,1.0,21.1528
1390,George Roop,0.4167,38.2
1391,Clint Hester,0.6667,66.0
1392,Colton Smith,0.3333,24.0
1393,Johnny Bedford,0.4,82.0
1394,Marcelo Guimaraes,0.6667,63.0
1395,Chris Indich,0.0,19.8418
1396,Yaotzin Meza,0.3333,19.8418
1397,Bobby Voelker,0.0,83.0
1398,Rodrigo Damm,0.5,51.25
1399,Vaughan Lee,0.4286,37.8333
1400,Chris Holdsworth,1.0,21.1528
