,fighter_name,win_loss,avg_str
187,Tom Aspinall,0.875,13.33
188,King Green,0.5862,6.43
189,Christian Leroy Duncan,0.75,4.71
190,Arnold Allen,0.8333,28.75
191,Nathaniel Wood,0.7,47.0
192,Molly McCann,0.5833,19.8418
193,Muhammad Mokaev,1.0,1.61
194,Oban Elliott,1.0,4.26
195,Modestas Bukauskas,0.4286,3.77
196,Sam Patterson,0.6667,2.66
197,Mick Parkin,1.0,4.91
198,Shauna Bannon,0.0,4.37
199,Amanda Lemos,0.7273,19.8418
200,Kurt Holobaugh,0.1429,71.5
201,Dooho Choi,0.5714,27.25
202,JeongYeong Lee,1.0,2.84
203,Brian Kelleher,0.5,47.0
204,Miranda Maverick,0.6667,6.0
205,Loik Radzhabov,0.6667,2.89
206,Luana Carolina,0.6667,21.1528
207,Mohammed Usman,0.75,3.41
208,Rose Namajunas,0.6875,47.625
209,Santiago Ponzinibbio,0.6471,40.0
210,Drew Dober,0.6087,61.0
211,Gabriel Bonfim,0.75,5.78
212,Julian Erosa,0.5333,61.0
213,Joshua Van,0.8,8.55
214,Jasmine Jasudavicius,0.75,3.79
215,Montel Jackson,0.8,42.0
216,Luana Santos,1.0,4.28
217,Josh Fremd,0.4,2.52
218,Evan Elder,0.3333,5.02
219,Dan Ige,0.6111,38.6667
220,Anthony Smith,0.5556,38.4
221,Mayra Bueno Silva,0.6667,21.1528
222,Ian Machado Garry,1.0,5.5
223,Joe Pyfer,0.6667,3.72
224,Cub Swanson,0.6129,66.0769
225,Payton Talbott,1.0,8.38
226,Michelle Waterson-Gomez,0.5,3.42
227,Andrei Arlovski,0.5435,26.75
228,Rei Tsuruya,1.0,2.28
229,Ricky Simon,0.6923,34.0
230,Sergei Pavlovich,0.75,19.8418
231,Kelvin Gastelum,0.5714,50.6667
232,Johnny Walker,0.6154,19.8418
233,Nasrat Haqparast,0.6667,60.0
234,Muhammad Naimov,0.75,3.18
235,Kyung Ho Kang,0.6667,33.0
236,Magomed Gadzhiyasulov,1.0,3.3
237,Alex Perez,0.6667,45.6667
238,Douglas Silva de Andrade,0.5833,52.6
239,Timmy Cuamba,0.5,3.0
240,Brady Hiestand,0.6667,4.4
241,Asu Almabayev,1.0,2.36
242,Josh Quinlan,0.3333,3.57
243,Jimmy Flick,0.6,1.99
244,Carli Judice,0.0,11.23
245,Jeka Saragih,0.75,2.73
246,Melquizael Costa,0.3333,3.46
247,Josefine Knutsson,1.0,4.87
248,Brunno Ferreira,0.8,4.99
249,Julian Marquez,0.5714,32.0
250,Miguel Baeza,0.5714,5.3
251,Thiago Moises,0.6154,19.8418
252,Charles Radtke,0.6667,3.38
253,Andrea Lee,0.4167,56.0
254,John Castaneda,0.7143,4.67
255,Eduarda Moura,0.6667,3.09
256,Rayanne dos Santos,0.0,4.36
257,Islam Makhachev,0.9333,32.0
258,Sean Strickland,0.7143,56.6667
