,fighter_name,win_loss,avg_td
707,Ariane Lipski,0.6,1.32054
708,Mike Rodriguez,0.4286,1.32054
709,Rong Zhu,0.0,4.56
710,Impa Kasanganay,0.8,2.5
711,Emily Whitmire,0.4,1.9
712,Bea Malecki,1.0,1.39996
713,Roosevelt Roberts,0.5556,1.84
714,Sasha Palatnikov,0.5,0.82
715,Tecia Torres,0.6429,1.5
716,Victoria Leonardo,0.4,4.65
717,Cheyanne Buys,0.5,0.48
718,Collin Anglin,0.5,2.75
719,Chris Gruetzemacher,0.5714,1.39996
720,Jinh Yu Frey,0.2857,1.06
721,Ryan Benoit,0.375,1.32054
722,Marion Reneau,0.4545,1.32054
723,Jeremy Stephens,0.4688,1.5
724,Francisco Figueiredo,0.6667,3.0
725,Alan Baudot,0.0,0.0
726,Carlos Condit,0.5833,2.0
727,Omari Akhmedov,0.6923,2.58
728,Julia Avila,0.75,0.54
729,Yancy Medeiros,0.5333,1.32054
730,Chan Sung Jung,0.5385,1.6667
731,Aleksa Camur,0.5,0.72
732,Kanako Murata,0.5,3.38
733,Demian Maia,0.6875,2.49
734,Carlos Felipe,0.75,0.0
735,Walt Harris,0.4286,1.32054
736,Dusko Todorovic,0.5,0.96
737,Jacare Souza,0.7037,2.57
738,Kevin Aguilar,0.5,1.32054
739,Christos Giagos,0.4615,3.38
740,Donald Cerrone,0.6444,3.0
741,Maurice Greene,0.5714,1.39996
742,Christian Aguilera,0.5,0.0
743,Randa Markos,0.375,1.5
744,Kai Kamaka,0.5,5.0
745,Poliana Botelho,0.5,1.32054
746,Andreas Michailidis,0.3333,1.12
747,Luke Sanders,0.5,1.32054
748,Karl Roberson,0.5,1.32054
749,Danaa Batgerel,0.5,0.0
750,Kazula Vargas,0.3333,0.44
751,Aori Qileng,,3.0
752,Na Liang,,6.96
753,Abdul Razak Alhassan,0.5455,1.32054
754,Luis Pena,0.5714,1.39996
755,Bartosz Fabinski,0.6,10.0
756,Nina Nunes,0.5,0.28
757,Mike Perry,0.5,1.32054
758,Scott Holtzman,0.5833,3.0
759,Yorgan De Castro,0.5,0.0
760,Hunter Azure,0.75,2.0
761,Da-Un Jung,1.0,2.79
762,Stipe Miocic,0.7778,4.0
763,Tyron Woodley,0.7391,1.39996
764,Jared Gooden,0.3333,0.96
765,Gloria de Paula,0.5,0.74
766,Dominick Cruz,0.8235,7.0
767,Joseph Benavidez,0.75,5.0
768,Rogerio Bontorin,0.6,2.9
769,Vince Cachero,0.0,0.0
770,Shana Dobson,0.3333,1.32054
771,Andre Ewell,0.5,1.32054
772,Alistair Overeem,0.6875,1.44
773,Nik Lentz,0.6364,4.75
774,Ike Villanueva,0.2,0.6
775,Su Mudaerji,0.6667,1.39996
776,David Zawada,0.25,2.0
777,Sarah Moras,0.375,1.39996
778,Jacob Kilburn,0.0,0.0
779,Anthony Pettis,0.6154,3.0
780,Deron Winn,0.5,4.98
781,Junior Dos Santos,0.7143,1.08
782,Gavin Tucker,0.6667,3.13
783,Matt Wiman,0.5882,2.34
784,Spike Carlyle,0.5,2.74
785,Martin Day,0.0,1.32054
786,Alan Jouban,0.5833,1.32054
787,Louis Cosce,0.5,1.04
788,Paul Felder,0.6429,1.32054
789,Geraldo de Freitas,0.5,4.0
790,Claudia Gadelha,0.6364,6.0
791,Gustavo Lopez,0.5,1.07
792,Cole Williams,0.0,0.0
793,Khabib Nurmagomedov,1.0,6.0
794,Stefan Struve,0.5652,0.61
795,Liana Jojua,0.3333,2.41
796,Thomas Almeida,0.5556,1.39996
797,Gadzhimurad Antigulov,0.4,8.7
798,Markus Perez,0.3333,2.0
799,Tom Breese,0.7143,1.32054
800,Chris Daukaus,0.5714,0.0
801,Ali AlQaisi,0.0,2.0
802,Germaine de Randamie,0.75,1.32054
803,Dequan Townsend,0.0,0.0
804,Jordan Williams,0.25,1.45
805,Casey Kenney,0.6667,1.75
806,Luigi Vendramini,0.3333,1.32054
807,Diego Sanchez,0.6471,1.62
808,Juan Espino,1.0,8.93
809,Khadis Ibragimov,0.0,1.67
810,Jordan Espinosa,0.5714,1.32054
811,Mirsad Bektic,0.6667,3.38
812,Michelle Waterson,0.6667,3.0
813,Ed Herman,0.52,2.5556
814,Brok Weaver,0.5,0.0
815,Cole Smith,0.5,1.5
816,Ricardo Lamas,0.6364,1.63
817,Mallory Martin,0.5,5.0
818,Carlton Minus,0.0,0.0
819,Timur Valiev,1.0,2.73
820,John Dodson,0.625,1.32054
821,Herbert Burns,0.5,4.59
822,Yana Kunitskaya,0.6667,3.14
823,Irwin Rivera,0.5,1.0
824,Joanne Calderwood,0.5833,2.0
825,Frankie Saenz,0.5556,5.0
826,Fabricio Werdum,0.7097,1.71
827,Ramazan Emeev,0.7143,2.37
828,Joe Duffy,0.5714,1.32054
829,Brett Johns,0.6667,11.0
830,Davi Ramos,0.6667,2.5
831,Jimmie Rivera,0.7,1.32054
832,John Phillips,0.2,1.39996
833,Mara Romero Borella,0.3333,1.68
834,Jordan Griffin,0.4,1.45
835,Anthony Ivy,0.0,0.0
836,Ian Heinisch,0.5714,1.32054
837,Charles Byrd,0.3333,2.52
838,Jussier Formiga,0.6,2.0
839,Evan Dunham,0.5789,1.83
840,Jamahal Hill,0.875,0.0
841,Henry Cejudo,0.7692,3.0
842,Greg Hardy,0.6,1.39996
843,Elizeu Dos Santos,0.7778,0.45
844,Veronica Macedo,0.25,1.32054
845,Weili Zhang,1.0,1.75
846,Mark Madsen,0.8,12.5
847,Megan Anderson,0.6,1.32054
848,Gabriel Silva,0.0,1.0
849,Aalon Cruz,0.5,0.0
850,Jim Crute,0.6667,0.58
851,Ben Sosoli,,0.0
852,Callan Potter,0.5,2.83
853,Kai Kara France,0.75,1.0
854,Corey Anderson,0.7143,4.98
855,Mark De La Rosa,0.3333,1.32054
856,Juan Adams,0.3333,2.0
857,Domingo Pilarte,0.5,2.06
858,Hannah Cifers,0.3333,1.32054
859,Bevon Lewis,0.6,1.32054
860,Justine Kish,0.5,3.0
861,Conor McGregor,0.7692,2.0
862,Da Un Jung,1.0,0.0
863, Jun Yong Park,0.0,0.5
864,Dong Hyun Ma,0.4286,2.0
865,Miranda Granger,0.3333,0.0
866,Heili Alateng,1.0,3.5
867,Peter Yan,1.0,1.54
868,Thiago Alves,0.5769,0.71
869,Antonio Arroyo,0.5,1.95
870,Sergio Moraes,0.6667,2.0
871,Vanessa Melo,0.0,0.0
872,Zabit Magomedsharipov,1.0,6.0
873,Alekander Volkov,0.8,0.75
874,Zelim Imadaev,0.0,1.32054
875,Rustam Khabilov,0.75,5.0
876,Alexander Yakovlev,0.375,1.56
877,Grigorii Popov,0.0,1.32054
878,Jorge Masvidal,0.6296,6.0
879,Lyman Good,0.6,1.32054
880,Muslim Salikhov,0.6364,1.39996
881,Alex White,0.4444,1.32054
882,Enrique Barzola,0.75,6.1667
883,Raphael Pessoa Nunes,0.0,0.0
884,Joe Lauzon,0.5385,2.39
885,Kyle Bochniak,0.3333,1.32054
886,Daniel Spitz,0.3333,1.32054
887,Joanna Jedrzejczyk,0.7143,1.32054
888,Luke Jumeau,0.6667,1.39996
889,Nadia Kassem,0.5,1.32054
890,Michal Oleksiejczuk,0.5385,2.0
891,Alen Amedovski,0.0,1.32054
892,Siyar Bahadurzada,0.5714,1.32054
893,Brandon Davis,0.3333,1.32054
894,Martin Bravo,0.3333,2.6
895,Jose Quinonez,0.625,3.0
896,Marco Polo Reyes,0.5714,0.0
897,Sergio Pettis,0.6154,2.0
898,Vinicius Moreira,0.25,2.61
899,Caludio Puelles,0.5,3.06
900,Kyle Prepolec,0.0,1.32054
901,Mairbek Taisumov,0.875,5.0
902,Nordine Taleb,0.6364,4.0
903,Don Madge,1.0,2.22
904,Daniel Cormier,0.9048,1.95
905,Yoel Romero,0.6923,2.0
906,Manny Bermudez,0.75,3.06
907,Vincente Luque,0.8182,0.82
908,Luiz Garagorri,,0.79
909,Darko Stosic,0.3333,3.42
910,Cris Cyborg,0.9167,1.39996
911,Olivier Aubin-Mercier,0.6364,3.25
912,Erik Koch,0.5385,1.39996
913,James Vick,0.6923,1.32054
914,Ray Borg,0.6364,5.0
915,Urijah Faber,0.6786,2.0
916,Liu Pingyuan,0.6667,1.32054
917,Benito Lopez,0.75,1.32054
918,Gilbert Melendez,0.7083,1.64
919,Caludia Gadelha,0.5556,3.34
920,Allen Crowder,0.5,1.85
921,Alexander Gustafsson,0.5882,1.56
922,Jimi Manuwa,0.5455,1.5
923,Damir Hadzovic,0.5,1.32054
924,Daniel Teymur,0.25,1.32054
925,Rostem Akman,0.0,1.39996
926,Tonya Evinger,0.0,1.32054
927,Stevie Ray,0.6,1.32054
928,Nick Hein,0.5714,2.0
929,Antonio Carlos Junior,0.6364,5.0
930,Desmond Green,0.5,1.6667
931,Patrick Cummins,0.5,4.3333
932,Rogerio Nogueira,0.7037,0.67
933,BJ Penn,0.4615,1.3125
934,Talita Bernardo,0.3333,3.0
935,Arjan Bhullar,0.6667,1.5
936,Mitch Gagnon,0.5714,1.32054
937,John Lineker,0.8,1.32054
938,Ben Saunders,0.5,0.21
939,Sultan Aliev,0.3333,1.32054
940,Magomed Mustafaev,0.75,1.32054
941,Wilson Reis,0.5833,5.3333
942,Boston Salmon,0.0,1.39996
943,Curtis Millender,0.75,1.32054
944,Lauren Mueller,0.3333,2.0
945,David Branch,0.5,2.3333
946,Ross Pearson,0.48,1.0
947,Ryan MacDonald,0.0,1.39996
948,Eric Shelton,0.4,4.0
949,Jack Marshman,0.4286,1.32054
950,Danny Henry,0.6667,1.39996
951,Tim Boetsch,0.5217,1.875
952,Anthony Rocco Martin,0.6429,1.39996
953,Liz Carmouche,0.5385,2.75
954,Michel Prazeres,0.7692,5.0
955,Renan Barao,0.5625,6.0
956,Alexandra Albu,0.6667,2.5
957,Teruto Ishihara,0.375,0.4286
958,Wuliji Buren,0.0,4.0
959,Junior Albini,0.25,1.54
960,Magomed Bibulatov,0.5,2.0
961,Gregor Gillespie,0.8571,7.02
962,Paige VanZant,0.625,3.0
963,Dennis Bermudez,0.5625,4.5
964,Kyle Stewart,0.0,1.39996
965,Chad Mendes,0.6923,4.5
966,Cat Zingano,0.5,2.1667
967,Zak Ottow,0.5714,1.32054
968,Trevor Smith,0.4545,1.86
969,Adam Milstead,0.3333,1.32054
970,Chris de la Rocha,0.3333,1.32054
971,Elias Theodorou,0.8,3.0
972,Chad Laprise,0.6667,2.0
973,Mark Hunt,0.4706,1.39996
974,Suman Mokhtarian,0.0,1.39996
975,Yushin Okami,0.7,1.8889
976,Keita Nakamura,0.4,2.0
977,Elias Garcia,0.0,1.32054
978,Mizuto Hirota,0.1667,2.25
979,Alex Gorgees,,1.39996
980,Darren Stewart,0.4545,1.75
981,Rick Glenn,0.6,1.3333
982,Cezar Ferreira,0.6429,2.69
983,Humberto Bandenay,0.3333,2.9
984,Laureano Staropoli,0.4,1.39996
985,Devin Powell,0.3333,1.39996
986,Nad Narimani,0.6667,6.0
987,Joseph Morales,0.5,1.39996
988,Jason Knight,0.5,1.8
989,Adam Wieczorek,1.0,1.32054
990,Andre Soukhamthath,0.3333,1.4
991,Alex Garcia,0.5556,4.0
992,Thibault Gouti,0.2,1.32054
993,Te Edwards,0.0,1.39996
994,Gray Maynard,0.5789,3.0
995,Ryan LaFlare,0.7778,6.0
996,Luis Henrique,0.4,2.75
997,Thales Leites,0.6,2.3
998,Aleksei Kunchenko,0.6667,1.39996
999,Khalid Murtazaliev,,1.39996
1000,Adam Yandiev,,1.39996
1001,Roberto Sanchez,0.5,2.0
1002,Jake Ellenberger,0.5,3.3333
1003,John Moraga,0.6154,1.39996
1004,James Krause,0.5714,1.32054
1005,TJ Dillashaw,0.7647,1.75
1006,Demetrious Johnson,0.8824,10.0
1007,Matt Sayles,0.5,1.39996
1008,Danielle Taylor,0.5,1.32054
1009,Eddie Alvarez,0.5714,3.0
1010,Jordan Mein,0.5,1.375
1011,Kajan Johnson,0.6667,4.0
1012,Dustin Ortiz,0.6154,4.0
1013,Vitor Miranda,0.5,1.39996
1014,Emil Meek,0.3333,1.32054
1015,Justin Ledet,0.5,1.32054
1016,Jeremy Kimball,0.3333,1.32054
1017,Damian Stasiak,0.4,2.3333
1018,Sage Northcutt,0.7143,1.5
1019,Myles Jury,0.7273,2.4
1020,Justin Scoggins,0.5,4.3333
1021,Jessica Aguilar,0.25,2.0
1022,Gokhan Saki,1.0,1.39996
1023,Jamie Moyle,0.5,3.0
1024,Jay Cucciniello,,1.39996
1025,John Gunther,1.0,8.0
1026,Tyler Diamond,,1.39996
1027,Matt Bessette,0.0,1.39996
1028,Felipe Arantes,0.4545,1.32054
1029,Rolando Dy,0.3333,1.32054
1030,Shinsho Anzai,0.6667,1.5
1031,Viviane Pereira,0.6667,1.32054
1032,Jenel Lausa,0.3333,1.32054
1033,CM Punk,0.0,1.39996
1034,Rashad Coulter,0.0,1.32054
1035,Rashad Evans,0.6364,3.7273
1036,Mike Santiago,0.0,2.5
1037,Johnny Eduardo,0.4286,1.32054
1038,Jarred Brooks,0.3333,6.0
1039,Eric Spicely,0.3333,1.39996
1040,Daniel Kelly,0.6667,1.6667
1041,Bradley Scott,0.4286,1.32054
1042,Diego Rivas,0.6667,2.0
1043,Henry Briones,0.25,1.39996
1044,Vitor Belfort,0.6,0.5
1045,Alberto Mina,1.0,1.39996
1046,Justin Willis,1.0,3.0
1047,Dhiego Lima,0.4,3.0
1048,Matthew Lopez,0.4,3.0
1049,Bec Rawlings,0.3333,1.39996
1050,Tom Duquesnoy,0.5,1.32054
1051,Mark Godbeer,0.6667,1.32054
1052,CB Dollaway,0.5789,2.1667
1053,Mike Pyle,0.5556,1.4286
1054,Bryan Caraway,0.6667,3.0
1055,Jordan Johnson,1.0,4.0
1056,Albert Morales,0.2,0.6667
1057,Joshua Burkman,0.3333,2.3636
1058,Oskar Piechota,0.4,1.39996
1059,Damien Brown,0.4,1.32054
1060,Rob Wilkinson,0.0,2.0
1061,Lyoto Machida,0.6522,1.2222
1062,Tim Johnson,0.5,2.0
1063,Alan Patrick,0.625,3.92
1064,Maia Stevenson,,1.39996
1065,Iuri Alcantara,0.5882,6.0
1066,Jordan Rinaldi,0.5,2.0
1067,Austin Arnett,0.3333,1.39996
1068,Sabah Homasi,0.0,2.0
1069,Kalindra Faria,0.0,1.32054
1070,Mads Burnell,0.5,1.5
1071,Carls John De Tomas,0.0,2.0
1072,Antonio Braga Neto,0.5,2.0
1073,David Teymur,1.0,1.39996
1074,Amanda Cooper,0.4,1.32054
1075,Nicco Montano,1.0,2.25
1076,Barb Honchak,0.0,1.39996
1077,Joe Soto,0.4286,1.32054
1078,Christina Marks,,1.39996
1079,Karine Gevorgyan,,1.39996
1080,Ariel Beck,,1.39996
1081,Michael Bisping,0.7143,1.6364
1082,Wang Guan,,1.39996
1083,Kailin Curran,0.1667,5.0
1084,Cyril Asker,0.5,1.32054
1085,Alex Chambers,0.25,1.75
1086,Anthony Hamilton,0.3333,2.5
1087,Nate Marquardt,0.5417,1.9286
1088,Johny Hendricks,0.65,5.0
1089,Hacran Dias,0.4286,5.0
1090,Marcelo Golm,0.3333,1.39996
1091,Marcin Held,0.0,3.0
1092,Artem Lobov,0.3333,1.39996
1093,Salim Touahri,0.0,1.39996
1094,Pearl Gonzalez,0.0,2.0
1095,Takanori Gomi,0.3333,1.32054
1096,Syuri Kondo,0.3333,1.39996
1097,Daichi Abe,0.5,1.39996
1098,Luke Rockhold,0.7895,1.32054
1099,Hector Lombard,0.2727,2.0
1100,Jason Saggo,0.6,4.0
1101,Mitch Clarke,0.3333,1.5
1102,Francimar Barroso,0.5,2.5
1103,Bojan Mihajlovic,0.0,1.32054
1104,Alvaro Herrera,0.3333,1.32054
1105,Rafael Natal,0.5625,3.5
1106,Damian Grabowski,0.0,1.32054
1107,Frankie Perez,0.3333,1.32054
1108,James Mulheron,,1.39996
1109,Charlie Ward,0.0,1.39996
1110,Leslie Smith,0.5,1.32054
1111,Daniel Omielanczuk,0.5,2.0
1112,Travis Browne,0.5625,1.5
1113,Josh Stansbury,0.5,1.32054
1114,Dong Hyun Kim,0.7647,3.6
1115,Tarec Saffiedine,0.4,1.39996
1116,Kwan Ho Kwak,0.0,1.32054
1117,Naoki Inoue,1.0,1.39996
1118,Kiichi Kunimoto,0.75,1.39996
1119,Erick Silva,0.5,1.39996
1120,Luan Chagas,0.3333,0.5
1121,Peter Sobotta,0.4444,2.0
1122,Oliver Enkamp,0.0,1.39996
1123,Reza Madadi,0.5,3.3333
1124,Nico Musoke,0.6,1.6667
1125,Joachim Christensen,0.5,1.32054
1126,Hector Sandoval,0.6667,1.6667
1127,Patrick Williams,0.3333,2.0
1128,Will Brooks,0.3333,2.5
1129,Brad Pickett,0.3846,2.0
1130,Rony Jason,0.5,1.32054
1131,Garreth McLellan,0.25,1.32054
1132,Sam Sicilia,0.4545,1.3333
1133,Anderson Silva,0.7561,0.52
1134,Abel Trujillo,0.6,2.0
1135,Daniel Jolly,0.0,1.32054
1136,Bobby Nash,0.0,1.5
1137,Henrique da Silva,0.4,1.32054
1138,Jason Gonzalez,0.3333,1.32054
1139,Jocelyn Jones-Lybarger,0.0,1.32054
1140,Dmitrii Smoliakov,0.0,1.32054
1141,Brandon Thatch,0.4,1.32054
1142,Cole Miller,0.5263,0.4211
1143,James Moontasri,0.4,1.32054
1144,Bojan Velickovic,0.4,1.32054
1145,Tim Kennedy,0.75,2.3333
1146,Valerie Letourneau,0.6,1.39996
1147,Zach Makovsky,0.5,6.0
1148,Joe Gigliotti,0.0,1.32054
1149,Tiago Trator,0.6667,1.32054
1150,Keith Berish,0.0,0.0
1151,Juliana Lima,0.5,1.8
1152,Elvis Mutapcic,0.0,1.32054
1153,Kyle Noke,0.5455,1.6
1154,Yusuke Kasuya,0.0,1.32054
1155,Seohee Ham,0.3333,1.32054
1156,Richard Walsh,0.4,5.0
1157,Ben Nguyen,0.6667,1.32054
1158,Yao Zhikui,0.3333,1.39996
1159,Ryan Bader,0.7368,3.2
1160,Gegard Mousasi,0.7273,1.39996
1161,Magnus Cedenblad,0.8,1.5
1162,Kyoji Horiguchi,0.8571,1.5714
1163,Anna Elmose,0.0,1.32054
1164,Erik Perez,0.75,2.4
1165,Marco Beltran,0.75,1.39996
1166,Erick Montano,0.5,2.0
1167,Polo Reyes,0.8,1.32054
1168,Lukasz Sajewski,0.0,1.32054
1169,Jonathan Wilson,0.3333,1.32054
1170,Cody East,0.0,1.32054
1171,Kelly Faszholz,0.0,1.32054
1172,Roy Nelson,0.5,1.0
1173,Godofredo Pepey,0.5,1.39996
1174,Glaico Franca,0.5,4.0
1175,Roan Carneiro,0.5,3.2
1176,Chris Wade,0.6667,3.0
1177,Augusto Montano,0.5,1.39996
1178,Jessin Ayari,0.3333,1.39996
1179,Scott Askham,0.4,1.32054
1180,Shane Campbell,0.25,1.3333
1181,Jeremy Kennedy,1.0,7.0
1182,Anthony Johnson,0.7222,1.4444
1183,Rick Story,0.6667,3.0
1184,Hyun Gyu Lim,0.5,1.32054
1185,Alberto Uda,0.0,1.32054
1186,Viktor Pesta,0.25,3.3333
1187,Francisco Rivera,0.4,1.32054
1188,Cesar Arzamendia,0.0,3.0
1189,Jim Alers,0.3333,2.0
1190,Michael McDonald,0.75,5.0
1191,Cain Velasquez,0.8571,2.7
1192,Cory Hendricks,,1.39996
1193,Anthony Birchak,0.4,1.39996
1194,Russell Doane,0.4286,3.0
1195,Rory MacDonald,0.75,4.0
1196,Steve Bosse,0.5,1.32054
1197,Tamdan McCrory,0.5,1.5714
1198,Chris Beal,0.5,1.75
1199,Ali Bagautinov,0.6667,3.3333
1200,Dan Henderson,0.5294,1.7143
1201,Chris Camozzi,0.5,1.39996
1202,Antonio Silva,0.3,1.32054
1203,Albert Tumenov,0.7143,1.32054
1204,Jon Tuck,0.5,1.32054
1205,Yan Cabral,0.5,4.0
1206,Ulka Sasaki,0.5,1.625
1207,Efrain Escudero,0.4545,2.6667
1208,Oluwale Bamgbose,0.25,1.32054
1209,Igor Pokrajac,0.3333,1.6667
1210,Ian Entwistle,0.5,1.32054
1211,Filip Pejic,,1.39996
1212,Rob Whiteford,0.5,2.5
1213,James Te Huna,0.5556,5.0
1214,Brendan O'Reilly,0.3333,3.0
1215,Mike Wilkinson,0.6667,1.32054
1216,Norman Parke,0.625,6.0
1217,Teemu Packalen,0.3333,3.0
1218,Daniel Sarafian,0.4,1.39996
1219,Jonavin Webb,0.0,2.0
1220,Noad Lahat,0.6667,2.0
1221,Josh Barnett,0.6667,0.8
1222,George Sullivan,0.5,2.0
1223,Matt Dwyer,0.3333,1.32054
1224,Patrick Cote,0.5,0.5882
1225,Maximo Blanco,0.5,1.6667
1226,Lorenz Larkin,0.4444,1.32054
1227,Diego Brandao,0.6667,2.4
1228,Sheldon Westcott,0.0,2.5
1229,Sarah Kaufman,0.3333,0.5
1230,Josh Samman,0.75,1.39996
1231,Hayder Hassan,0.0,1.32054
1232,Joe Proctor,0.5714,1.39996
1233,Tatsuya Kawajiri,0.6,3.5
1234,Gabriel Gonzaga,0.5714,1.2857
1235,Joby Sanchez,0.25,1.32054
1236,Benson Henderson,0.7692,5.0
1237,Yoshihiro Akiyama,0.3333,4.0
1238,Dongi Yang,0.25,3.0
1239,Yui Chul Nam,0.5,1.5
1240,Tae Hyun Bang,0.5,1.32054
1241,Ning Guangyou,0.6667,2.0
1242,Dominique Steele,0.25,3.3333
1243,Horacio Gutierrez,0.0,1.39996
1244,Hector Urbina,0.5,1.32054
1245,Vernon Ramos,,1.39996
1246,Valmir Lazaro,0.5,4.0
1247,Ronda Rousey,0.8571,3.5
1248,Anthony Perosh,0.4545,1.3333
1249,Richie Vaculik,0.3333,2.0
1250,Fabio Maldonado,0.5,1.32054
1251,Gleison Tibau,0.5926,4.7
1252,Kevin Souza,1.0,1.32054
1253,Viscardi Andrade,0.6667,1.39996
1254,Bruno Korea,,1.39996
1255,Paddy Holohan,0.75,2.0
1256,Neil Seery,0.5,1.32054
1257,Aisling Daly,0.5,1.5
1258,Cathal Pendred,0.8,3.0
1259,Bubba Bush,0.0,0.0
1260,Shawn Jordan,0.6667,1.32054
1261,Adriano Martins,0.6667,1.39996
1262,Francisco Trevino,0.5,2.0
1263,Chris Cariaso,0.5833,1.32054
1264,Takeya Mizugaki,0.6154,4.0
1265,Katsunori Kikuno,0.5,3.0
1266,Naoyuki Kotani,0.0,0.5
1267,Clay Collard,0.3333,3.3333
1268,Joe Riggs,0.4545,1.1818
1269,Sam Stout,0.4737,0.5882
1270,Yves Jabouin,0.5556,1.39996
1271,Chris Kelades,0.6667,2.0
1272,Jared Rosholt,0.8571,2.0
1273,Chris Dempsey,0.3333,1.5
1274,Anthony Christodoulou,0.0,1.32054
1275,Reginaldo Vieira,0.5,1.5
1276,Rafael Feijao,0.25,1.32054
1277,Hugo Viana,0.6,1.32054
1278,Kenny Robertson,0.5,1.32054
1279,Daron Cruickshank,0.5,4.0
1280,Ramsey Nijem,0.5556,4.0
1281,Jessamyn Duke,0.3333,1.39996
1282,Mickael Lebout,0.5,1.32054
1283,Marcus Brimage,0.5714,1.39996
1284,Frank Mir,0.6154,1.0
1285,Josh Thomson,0.5,2.0
1286,Scott Jorgensen,0.3636,3.0
1287,Igor Araujo,0.6667,1.32054
1288,Kevin Casey,0.1667,1.32054
1289,Andrew Craig,0.5,1.32054
1290,Michael Graves,1.0,7.0
1291,Angela Magana,0.0,1.32054
1292,Dan Miller,0.5,1.5556
1293,Darrell Montague,0.0,1.32054
1294,Mike Swick,0.7143,0.6154
1295,Yosdenis Cedeno,0.3333,1.32054
1296,Leandro Silva,0.4286,2.0
1297,Steve Montgomery,0.0,1.39996
1298,Danny Martinez,0.0,5.0
1299,Dennis Siver,0.55,0.7222
1300,Alan Omer,0.0,1.39996
1301,Niklas Backstrom,0.5,1.32054
1302,Piotr Hallmann,0.4,3.0
1303,Thiago Tavares,0.5882,2.875
1304,Brian Ebersole,0.7143,4.0
1305,Ricardo Abreu,1.0,1.39996
1306,KJ Noons,0.4,1.32054
1307,Wendell Oliveira,0.0,1.32054
1308,Lucas Martins,0.5,1.32054
1309,Luiz Dutra,0.0,1.32054
1310,Mark Munoz,0.5714,1.7273
1311,Phillipe Nover,0.1667,1.5
1312,Mark Eddiva,0.3333,4.0
1313,Zhang Lipeng,0.6667,4.0
1314,Roldan Sangcha-an,0.0,1.32054
1315,Nolan Ticman,0.0,1.39996
1316,Hatsu Hioki,0.4286,2.6667
1317,Dylan Andrews,0.5,1.5
1318,Vik Grujic,0.3333,1.32054
1319,Alptekin Ozkilic,0.3333,6.0
1320,Rampage Jackson,0.5833,0.6667
1321,Jessica Rakoczy,0.0,1.32054
1322,Eddie Gordon,0.3333,1.6667
1323,Pawel Pawlak,0.5,1.5
1324,Seth Baczynski,0.5,1.32054
1325,Izabela Badurek,,1.39996
1326,Marcin Bandel,0.0,1.32054
1327,Ron Stallings,0.5,1.32054
1328,Leonardo Mafra,0.3333,1.6667
1329,Jorge de Oliveira,0.0,1.32054
1330,Bentley Syler,,1.39996
1331,Jake Lindsey,0.0,1.32054
1332,Larissa Pacheco,0.0,1.32054
1333,Masio Fullen,0.5,1.39996
1334,William Patolino,0.3333,2.5
1335,Ivan Jorge,0.6667,2.0
1336,Ian McCall,0.4,4.0
1337,Richardson Moreira,0.0,1.32054
1338,Phil Davis,0.75,3.0
1339,Akira Corassani,0.6,1.32054
1340,Andy Ogle,0.2,1.6667
1341,John Howard,0.5385,4.6667
1342,Johnny Case,0.8,2.6667
1343,Matt Van Buren,0.0,1.32054
1344,Tateki Matsuda,0.0,1.32054
1345,Danny Castillo,0.5385,5.0
1346,Alexis Dufresne,0.0,3.0
1347,Elias Silverio,0.75,2.5
1348,Tom Niinimaki,0.3333,4.0
1349,Leandro Issa,0.5,2.0
1350,Marcio Alexandre Junior,0.0,1.39996
1351,Jamie Varner,0.375,5.0
1352,Joe Ellenberger,1.0,3.0
1353,David Michaud,0.5,3.5
1354,Emily Peters Kagan,0.0,2.0
1355,Todd Duffee,0.75,0.0
1356,Ruslan Magomedov,1.0,1.32054
1357,Luke Barnatt,0.6,1.39996
1358,Yves Edwards,0.5,0.3077
1359,Juan Puig,0.0,1.32054
1360,Edgar Garcia,0.0,1.3333
1361,Caio Magalhaes,0.6667,2.0
1362,Wagner Silva,0.0,1.32054
1363,Soa Palelei,0.6667,2.5
1364,Luke Zachrich,0.5,1.32054
1365,Jumabieke Tuerxun,0.0,1.39996
1366,Fabricio Camoes,0.2,5.0
1367,Tor Troeng,0.3333,1.39996
1368,Manvel Gamburyan,0.4286,2.3077
1369,Michinori Tanaka,0.5,3.0
1370,Kazuki Tokudome,0.3333,2.0
1371,Paulo Thiago,0.4167,1.4286
1372,Matt Mitrione,0.6923,0.0
1373,Sean Soriano,0.0,1.33
1374,Ruan Potts,0.0,1.32054
1375,Francis Carmont,0.75,3.0
1376,Sai Wang,0.0,1.39996
1377,Roland Delorme,0.5,2.25
1378,An Ying Wang,1.0,1.32054
1379,Elizabeth Phillips,0.3333,1.32054
1380,Tom Watson,0.3333,1.39996
1381,Kyle Kingsbury,0.5,3.6667
1382,Hernani Perpetuo,0.0,1.32054
1383,Akbarh Arreola,0.3333,2.0
1384,Andreas Stahl,0.0,1.39996
1385,Steven Siler,0.625,1.39996
1386,Cody Donovan,0.3333,1.32054
1387,Justin Salas,0.5,4.0
1388,Jesse Ronson,0.0,1.32054
1389,Patrick Walsh,1.0,5.0
1390,George Roop,0.4167,0.7273
1391,Clint Hester,0.6667,1.32054
1392,Colton Smith,0.3333,7.0
1393,Johnny Bedford,0.4,4.0
1394,Marcelo Guimaraes,0.6667,1.6667
1395,Chris Indich,0.0,1.32054
