,fighter_name,win_loss,avg_td
115,Fares Ziam,0.7143,1.28
116,Ion Cutelaba,0.4,4.39
117,Oumar Sy,1.0,3.21
118,Ludovit Klein,0.75,3.69
119,Taylor Lapilus,0.7143,2.0
120,Ailin Perez,0.75,5.36
121,Daniel Barez,0.0,4.07
122,Nora Cornolle,1.0,0.39
123,Bolaji Oki,1.0,2.11
124,Sean O'Malley,0.9167,3.0
125,Alexa Grasso,0.7273,1.39996
126,Brian Ortega,0.7273,1.17
127,Daniel Zellhuber,0.8,0.22
128,Ronaldo Rodriguez,0.5,1.2
129,Irene Aldana,0.6154,1.32054
130,Manuel Torres,1.0,3.26
131,Yazmin Jauregui,0.75,0.0
132,Edgar Chairez,0.3333,0.0
133,Raul Rosas Jr.,0.8,4.39
134,Gilbert Burns,0.6818,2.43
135,Jessica Andrade,0.6296,3.21
136,Steve Garcia,0.75,1.51
137,Matt Schnell,0.5,1.32054
138,Trevor Peek,0.6,1.82
139,Rongzhu,0.6667,2.09
140,Isaac Dulgarian,0.5,6.06
141,Felipe dos Santos,0.5,0.0
142,Yizha,0.8333,4.55
143,Jaqueline Amorim,0.6667,1.78
144,Andre Petroski,0.75,4.55
145,Zygimantas Ramaska,,0.0
146,Jared Cannonier,0.5882,1.32054
147,Angela Hill,0.48,1.32054
148,Robert Valentin,,0.0
149,Kaan Ofli,,0.0
150,Edmen Shahbazyan,0.6364,8.0
151,Dennis Buzukja,0.4,0.63
152,Zachary Reese,0.6667,4.08
153,Viacheslav Borshchev,0.5,0.0
154,Jacqueline Cavalcanti,1.0,0.0
155,Dricus Du Plessis,1.0,3.04
156,Kai Kara-France,0.6364,1.32054
157,Mateusz Gamrot,0.7778,5.35
158,Tai Tuivasa,0.5333,1.32054
159,Li Jingliang,0.6471,2.0
160,Josh Culibao,0.5,0.0
161,Casey O'Neill,0.6667,6.91
162,Jack Jenkins,0.75,2.12
163,Tom Nolan,0.6667,0.0
164,Stewart Nicoll,,5.66
165,Damon Jackson,0.5455,2.44
166,Danny Barlow,1.0,0.0
167,Chris Gutierrez,0.7273,1.32054
168,Yana Santos,0.4444,0.97
169,Toshiomi Kazama,0.3333,1.68
170,Karol Rosa,0.6667,1.5
171,Jhonata Diniz,1.0,0.0
172,Youssef Zalal,0.625,6.0
173,Stephanie Luciano,,0.5
174,Cory Sandhagen,0.7692,1.32054
175,Marlon Vera,0.6522,1.32054
176,Tony Ferguson,0.6923,2.64
177,Mackenzie Dern,0.6154,1.32054
178,Joel Alvarez,0.7143,1.32054
179,Azamat Murzakanov,1.0,0.62
180,Mohammad Yahya,0.0,0.76
181,Shamil Gaziev,0.6667,1.03
182,Guram Kutateladze,0.3333,0.77
183,Viktoriia Dudakova,1.0,2.63
184,Jai Herbert,0.3333,0.5
185,Sedriques Dumas,0.6,1.31
186,Leon Edwards,0.875,1.48
187,Tom Aspinall,0.875,3.54
188,King Green,0.5862,1.23
189,Christian Leroy Duncan,0.75,0.31
190,Arnold Allen,0.8333,2.6667
191,Nathaniel Wood,0.7,2.05
192,Molly McCann,0.5833,2.59
193,Muhammad Mokaev,1.0,5.29
194,Oban Elliott,1.0,2.67
195,Modestas Bukauskas,0.4286,0.38
196,Sam Patterson,0.6667,1.94
197,Mick Parkin,1.0,1.49
198,Shauna Bannon,0.0,0.0
199,Amanda Lemos,0.7273,2.59
200,Kurt Holobaugh,0.1429,1.32054
201,Dooho Choi,0.5714,1.32054
202,JeongYeong Lee,1.0,0.93
203,Brian Kelleher,0.5,1.68
204,Miranda Maverick,0.6667,2.43
205,Loik Radzhabov,0.6667,4.65
206,Luana Carolina,0.6667,1.39996
207,Mohammed Usman,0.75,0.69
208,Rose Namajunas,0.6875,3.3333
209,Santiago Ponzinibbio,0.6471,1.39996
210,Drew Dober,0.6087,1.32054
